,user_id,device_type,date,power,month,time,year,power_kWh,cost
0,1,Desktop,2020-03-01,352.8399999999998,Mar,00:00:20,2020,0.004659999999999978,0.0
1,1,Desktop,2020-03-02,11485.290000000012,Mar,00:00:20,2020,0.19039000000000086,0.03754999999999995
2,1,Desktop,2020-03-03,11469.839999999995,Mar,00:00:20,2020,0.1902000000000011,0.03737999999999996
3,1,Desktop,2020-03-04,11865.390000000018,Mar,00:00:20,2020,0.19684000000000107,0.038689999999999954
4,1,Desktop,2020-03-05,11707.080000000016,Mar,00:00:20,2020,0.1941400000000007,0.03806999999999998
5,1,Desktop,2020-03-06,11520.610000000017,Mar,00:00:20,2020,0.19113000000000102,0.037629999999999914
6,1,Desktop,2020-03-07,759.7199999999988,Mar,00:00:20,2020,0.01140999999999991,0.00143
7,1,Desktop,2020-03-08,340.4399999999996,Mar,00:00:20,2020,0.004419999999999988,0.0
8,1,Desktop,2020-03-09,11724.669999999998,Mar,00:00:20,2020,0.19463000000000097,0.03818999999999995
9,1,Desktop,2020-03-10,11714.669999999993,Mar,00:00:20,2020,0.1944100000000011,0.03813999999999993
10,1,Desktop,2020-03-11,11664.570000000014,Mar,00:00:20,2020,0.19354000000000116,0.038009999999999926
11,1,Desktop,2020-03-12,11260.189999999997,Mar,00:00:20,2020,0.18662000000000073,0.03673999999999995
12,1,Desktop,2020-03-13,11525.00000000002,Mar,00:00:20,2020,0.1911800000000012,0.03766999999999993
13,1,Desktop,2020-03-14,1108.729999999998,Mar,00:00:20,2020,0.017249999999999897,0.0025399999999999993
14,1,Desktop,2020-03-15,354.66999999999973,Mar,00:00:20,2020,0.004819999999999973,0.0
15,1,Desktop,2020-03-16,11643.180000000008,Mar,00:00:20,2020,0.19312000000000096,0.038009999999999954
16,1,Desktop,2020-03-17,11908.71,Mar,00:00:20,2020,0.1974700000000008,0.038869999999999925
17,1,Desktop,2020-03-18,11322.320000000003,Mar,00:00:20,2020,0.18779000000000093,0.03700999999999995
18,1,Desktop,2020-03-19,11504.060000000009,Mar,00:00:20,2020,0.1908100000000007,0.03755999999999992
19,1,Desktop,2020-03-20,11839.69000000001,Mar,00:00:20,2020,0.19659000000000101,0.03859999999999995
20,1,Desktop,2020-03-21,1033.1999999999985,Mar,00:00:20,2020,0.015899999999999918,0.00231
21,1,Desktop,2020-03-22,340.3600000000001,Mar,00:00:20,2020,0.0044299999999999895,0.0
22,1,Desktop,2020-03-23,11366.990000000022,Mar,00:00:20,2020,0.18837000000000073,0.03710999999999996
23,1,Desktop,2020-03-24,10873.109999999993,Mar,00:00:20,2020,0.18027000000000082,0.035349999999999965
24,1,Desktop,2020-03-25,11876.010000000006,Mar,00:00:20,2020,0.196990000000001,0.03872999999999993
25,1,Desktop,2020-03-26,11332.580000000016,Mar,00:00:20,2020,0.18801000000000095,0.036999999999999936
26,1,Desktop,2020-03-27,11397.070000000016,Mar,00:00:20,2020,0.18872000000000075,0.03708999999999996
27,1,Desktop,2020-03-28,855.5099999999996,Mar,00:00:20,2020,0.013089999999999906,0.0017000000000000003
28,1,Desktop,2020-03-29,333.8999999999993,Mar,00:00:20,2020,0.004199999999999997,0.0
29,1,Desktop,2020-03-30,11126.910000000002,Mar,00:00:20,2020,0.184780000000001,0.03632999999999995
30,1,Desktop,2020-03-31,11287.570000000003,Mar,00:00:20,2020,0.18735000000000088,0.03682999999999996
31,1,Desktop,2020-04-01,13180.29000000002,Apr,00:00:20,2020,0.21870000000000078,0.043089999999999976
32,1,Desktop,2020-04-02,13776.420000000004,Apr,00:00:20,2020,0.22862000000000104,0.04515999999999999
33,1,Desktop,2020-04-03,14654.930000000011,Apr,00:00:20,2020,0.24332000000000062,0.04806
34,1,Desktop,2020-04-04,775.2399999999983,Apr,00:00:20,2020,0.011859999999999909,0.0014500000000000001
35,1,Desktop,2020-04-05,337.5799999999992,Apr,00:00:20,2020,0.004319999999999992,0.0
36,1,Desktop,2020-04-06,13705.910000000002,Apr,00:00:20,2020,0.2277100000000012,0.04489999999999996
37,1,Desktop,2020-04-07,13673.400000000009,Apr,00:00:20,2020,0.22672000000000112,0.04473999999999998
38,1,Desktop,2020-04-08,13826.350000000013,Apr,00:00:20,2020,0.229630000000001,0.045280000000000035
39,1,Desktop,2020-04-09,14236.97000000002,Apr,00:00:20,2020,0.23631000000000096,0.046579999999999996
40,1,Desktop,2020-04-10,13967.510000000011,Apr,00:00:20,2020,0.23179000000000097,0.045729999999999965
41,1,Desktop,2020-04-11,1087.669999999998,Apr,00:00:20,2020,0.016999999999999904,0.0025
42,1,Desktop,2020-04-12,341.58000000000027,Apr,00:00:20,2020,0.004509999999999985,0.0
43,1,Desktop,2020-04-13,13223.699999999993,Apr,00:00:20,2020,0.21956000000000084,0.04323999999999998
44,1,Desktop,2020-04-14,13694.580000000004,Apr,00:00:20,2020,0.2273700000000011,0.04493
45,1,Desktop,2020-04-15,14972.040000000037,Apr,00:00:20,2020,0.24877000000000107,0.04925000000000002
46,1,Desktop,2020-04-16,13818.630000000023,Apr,00:00:20,2020,0.22935000000000108,0.045180000000000005
47,1,Desktop,2020-04-17,13537.360000000015,Apr,00:00:20,2020,0.22475000000000073,0.04428999999999995
48,1,Desktop,2020-04-18,975.8899999999979,Apr,00:00:20,2020,0.015019999999999928,0.00215
49,1,Desktop,2020-04-19,359.92999999999887,Apr,00:00:20,2020,0.0046999999999999785,0.0
50,1,Desktop,2020-04-20,13777.990000000022,Apr,00:00:20,2020,0.22882000000000086,0.045189999999999994
