,user_id,type,avg_energy,avg_cost,date
0,1,daily,0.5789948500000023,0.11580240000000024,2020-08-28
1,1,daily,0.5789948500000023,0.11580240000000024,2020-08-29
2,1,daily,0.5789948500000023,0.11580240000000024,2020-08-30
3,1,daily,0.5789948500000023,0.11580240000000024,2020-08-31
4,1,daily,0.5789948500000023,0.11580240000000024,2020-09-01
5,1,daily,0.5789948500000023,0.11580240000000024,2020-09-02
6,1,daily,0.5789948500000023,0.11580240000000024,2020-09-03
7,2,daily,0.5789948500000023,0.11580240000000024,2020-08-28
8,2,daily,0.5789948500000023,0.11580240000000024,2020-08-29
9,2,daily,0.5789948500000023,0.11580240000000024,2020-08-30
10,2,daily,0.5789948500000023,0.11580240000000024,2020-08-31
11,2,daily,0.5789948500000023,0.11580240000000024,2020-09-01
12,2,daily,0.5789948500000023,0.11580240000000024,2020-09-02
13,2,daily,0.5789948500000023,0.11580240000000024,2020-09-03
14,3,daily,0.5789948500000023,0.11580240000000024,2020-08-28
15,3,daily,0.5789948500000023,0.11580240000000024,2020-08-29
16,3,daily,0.5789948500000023,0.11580240000000024,2020-08-30
17,3,daily,0.5789948500000023,0.11580240000000024,2020-08-31
18,3,daily,0.5789948500000023,0.11580240000000024,2020-09-01
19,3,daily,0.5789948500000023,0.11580240000000024,2020-09-02
20,3,daily,0.5789948500000023,0.11580240000000024,2020-09-03
21,4,daily,0.5789948500000023,0.11580240000000024,2020-08-28
22,4,daily,0.5789948500000023,0.11580240000000024,2020-08-29
23,4,daily,0.5789948500000023,0.11580240000000024,2020-08-30
24,4,daily,0.5789948500000023,0.11580240000000024,2020-08-31
25,4,daily,0.5789948500000023,0.11580240000000024,2020-09-01
26,4,daily,0.5789948500000023,0.11580240000000024,2020-09-02
27,4,daily,0.5789948500000023,0.11580240000000024,2020-09-03
28,5,daily,0.5789948500000023,0.11580240000000024,2020-08-28
29,5,daily,0.5789948500000023,0.11580240000000024,2020-08-29
30,5,daily,0.5789948500000023,0.11580240000000024,2020-08-30
31,5,daily,0.5789948500000023,0.11580240000000024,2020-08-31
32,5,daily,0.5789948500000023,0.11580240000000024,2020-09-01
33,5,daily,0.5789948500000023,0.11580240000000024,2020-09-02
34,5,daily,0.5789948500000023,0.11580240000000024,2020-09-03
35,1,weekly,4.880007999999744,0.9721399999999647,2020-08-07
36,1,weekly,4.880007999999744,0.9721399999999647,2020-08-14
37,1,weekly,4.880007999999744,0.9721399999999647,2020-08-21
38,1,weekly,4.880007999999744,0.9721399999999647,2020-08-28
39,2,weekly,4.880007999999744,0.9721399999999647,2020-08-07
40,2,weekly,4.880007999999744,0.9721399999999647,2020-08-14
41,2,weekly,4.880007999999744,0.9721399999999647,2020-08-21
42,2,weekly,4.880007999999744,0.9721399999999647,2020-08-28
43,3,weekly,4.880007999999744,0.9721399999999647,2020-08-07
44,3,weekly,4.880007999999744,0.9721399999999647,2020-08-14
45,3,weekly,4.880007999999744,0.9721399999999647,2020-08-21
46,3,weekly,4.880007999999744,0.9721399999999647,2020-08-28
47,4,weekly,4.880007999999744,0.9721399999999647,2020-08-07
48,4,weekly,4.880007999999744,0.9721399999999647,2020-08-14
49,4,weekly,4.880007999999744,0.9721399999999647,2020-08-21
50,4,weekly,4.880007999999744,0.9721399999999647,2020-08-28
51,5,weekly,4.880007999999744,0.9721399999999647,2020-08-07
52,5,weekly,4.880007999999744,0.9721399999999647,2020-08-14
53,5,weekly,4.880007999999744,0.9721399999999647,2020-08-21
54,5,weekly,4.880007999999744,0.9721399999999647,2020-08-28
55,1,monthly,10.171505999998335,2.0436959999993976,2020-07-20
56,1,monthly,10.171505999998335,2.0436959999993976,2020-08-01
57,1,monthly,10.171505999998335,2.0436959999993976,2020-09-01
58,1,monthly,10.171505999998335,2.0436959999993976,2020-07-20
59,1,monthly,10.171505999998335,2.0436959999993976,2020-08-01
60,1,monthly,10.171505999998335,2.0436959999993976,2020-09-01
61,2,monthly,10.171505999998335,2.0436959999993976,2020-07-20
62,2,monthly,10.171505999998335,2.0436959999993976,2020-07-20
63,2,monthly,10.171505999998335,2.0436959999993976,2020-07-20
64,2,monthly,10.171505999998335,2.0436959999993976,2020-07-20
65,2,monthly,10.171505999998335,2.0436959999993976,2020-07-20
66,3,monthly,10.171505999998335,2.0436959999993976,2020-07-20
67,3,monthly,10.171505999998335,2.0436959999993976,2020-07-20
68,3,monthly,10.171505999998335,2.0436959999993976,2020-07-20
69,3,monthly,10.171505999998335,2.0436959999993976,2020-07-20
70,3,monthly,10.171505999998335,2.0436959999993976,2020-07-20
71,4,monthly,10.171505999998335,2.0436959999993976,2020-07-20
72,4,monthly,10.171505999998335,2.0436959999993976,2020-07-20
73,4,monthly,10.171505999998335,2.0436959999993976,2020-07-20
74,4,monthly,10.171505999998335,2.0436959999993976,2020-07-20
75,4,monthly,10.171505999998335,2.0436959999993976,2020-07-20
76,5,monthly,10.171505999998335,2.0436959999993976,2020-07-20
77,5,monthly,10.171505999998335,2.0436959999993976,2020-07-20
78,5,monthly,10.171505999998335,2.0436959999993976,2020-07-20
79,5,monthly,10.171505999998335,2.0436959999993976,2020-07-20
80,5,monthly,10.171505999998335,2.0436959999993976,2020-07-20
81,1,hourly,0.026867232049947964,0.005372122788761709,2020-09-03
82,1,hourly,0.026867232049947964,0.005372122788761709,2020-09-03
83,1,hourly,0.026867232049947964,0.005372122788761709,2020-09-03
84,1,hourly,0.026867232049947964,0.005372122788761709,2020-09-03
85,1,hourly,0.026867232049947964,0.005372122788761709,2020-09-03
