,user_id,date,power,month,time,year,power_kWh,cost,date_withoutYear
0,1,2020-07-20,54.60000000000007,Jul,07:59:55,2020,0.0007800000000000014,0.0,20/07
1,1,2020-07-21,28039.099999999915,Jul,14:02:42,2020,0.46698000000000284,0.09343999999999905,21/07
2,1,2020-07-22,34096.03999999978,Jul,00:00:56,2020,0.567569999999997,0.11269999999999934,22/07
3,1,2020-07-23,9723.800000000045,Jul,00:45:16,2020,0.1604799999999999,0.03171000000000006,23/07
4,1,2020-07-24,28173.35999999928,Jul,00:00:47,2020,0.4649400000000017,0.09535999999999746,24/07
5,1,2020-07-25,31371.89999999909,Jul,00:00:30,2020,0.5168300000000019,0.10599999999999703,25/07
6,1,2020-07-26,27723.0999999994,Jul,00:00:56,2020,0.45673000000000163,0.09367999999999753,26/07
7,1,2020-07-27,26746.29999999944,Jul,00:00:13,2020,0.4407700000000016,0.09039999999999766,27/07
8,1,2020-07-28,32275.499999999065,Jul,00:45:03,2020,0.5313100000000022,0.10877999999999695,28/07
9,1,2020-07-29,32090.499999998832,Jul,00:00:07,2020,0.5275000000000022,0.10799999999999695,29/07
10,1,2020-07-30,13558.500000000184,Jul,00:00:56,2020,0.22248000000000434,0.04361999999999976,30/07
11,1,2020-07-31,815.2999999999927,Jul,00:00:46,2020,0.00806999999999984,0.0,31/07
12,1,2020-08-01,999.4999999999848,Aug,00:39:34,2020,0.011589999999999696,0.0,01/08
13,1,2020-08-02,4174.400000000022,Aug,00:00:10,2020,0.06350999999999996,0.009859999999999992,02/08
14,1,2020-08-03,22219.099999999922,Aug,00:00:07,2020,0.36824000000000773,0.0722999999999989,03/08
15,1,2020-08-04,9566.320000000014,Aug,00:00:06,2020,0.16082000000000404,0.028400000000000026,04/08
16,1,2020-08-05,9600.900000000036,Aug,00:00:56,2020,0.16247000000000245,0.02737999999999977,05/08
17,1,2020-08-06,11160.600000000017,Aug,00:00:59,2020,0.18404000000000112,0.036129999999999884,06/08
18,1,2020-08-07,10188.59999999999,Aug,00:00:47,2020,0.16757000000000116,0.031640000000000085,07/08
19,1,2020-08-08,5741.000000000033,Aug,00:00:25,2020,0.09329000000000272,0.016270000000000024,08/08
20,1,2020-08-09,1027.7999999999813,Aug,00:00:01,2020,0.01412999999999961,9e-05,09/08
21,1,2020-08-10,927.3999999999724,Aug,00:00:40,2020,0.00755999999999986,0.0,10/08
22,1,2020-08-11,865.0999999999716,Aug,00:00:29,2020,0.008829999999999808,0.0,11/08
23,1,2020-08-12,953.3999999999553,Aug,00:00:36,2020,0.013619999999999613,0.0,12/08
24,1,2020-08-13,874.4999999999687,Aug,00:00:18,2020,0.010429999999999743,0.0,13/08
