,user_id,week,power,month,time,year,power_kWh,cost,date
0,1,06 Aug,20577.7999999998,Aug,00:00:47,2020,0.3154300000000687,0.0479999999999996,2020-08-07
1,1,13 Aug,55155.700000000776,Aug,00:00:48,2020,0.9074599999999736,0.17252999999999982,2020-08-14
2,1,20 Aug,12959.799999999346,Aug,00:00:53,2020,0.20637000000003272,0.03344000000000008,2020-08-21
3,1,27 Aug,51684.60000000153,Aug,00:00:47,2020,0.8477899999999222,0.16257999999999428,2020-08-28
4,2,06 Aug,462463.3000000215,Aug,00:00:48,2020,7.699369999999793,1.5175799999998763,2020-08-07
5,2,13 Aug,535952.4999999938,Aug,00:00:49,2020,8.936180000000075,1.790100000000049,2020-08-14
6,2,20 Aug,164395.9999999999,Aug,00:00:54,2020,2.7262099999995737,0.5623300000000253,2020-08-21
7,2,27 Aug,387222.0999999933,Aug,00:00:48,2020,6.454259999999952,1.2921500000000767,2020-08-28
8,3,06 Aug,109128.89999999799,Aug,00:00:49,2020,1.7827099999999567,0.35447000000001505,2020-08-07
9,3,13 Aug,63769.49999999867,Aug,00:00:50,2020,1.0472099999999762,0.2072899999999986,2020-08-14
10,3,20 Aug,780.5000000001165,Aug,00:00:54,2020,0.0013100000000000028,0.0,2020-08-21
11,3,27 Aug,9657.50000000106,Aug,00:00:48,2020,0.14888,0.029690000000000036,2020-08-28
12,4,06 Aug,16926.7000000035,Aug,00:00:51,2020,0.2461300000000028,0.04729999999999979,2020-08-07
13,4,13 Aug,53567.14999999816,Aug,00:00:52,2020,0.8752600000000105,0.17270000000000013,2020-08-14
14,4,20 Aug,5257.0999999991745,Aug,00:00:55,2020,0.096479999999994,0.006619999999999998,2020-08-21
15,4,27 Aug,31068.80000000038,Aug,00:00:49,2020,0.5059800000000023,0.09306000000000023,2020-08-28
16,5,06 Aug,864998.5000000424,Aug,00:00:52,2020,14.356399999998901,2.8933499999999333,2020-08-07
17,5,13 Aug,279890.4000000083,Aug,00:00:53,2020,4.652840000000009,0.9374099999999959,2020-08-14
18,5,20 Aug,1153.2,Aug,00:00:56,2020,0.01941999999999998,0.0036500000000000026,2020-08-21
19,5,27 Aug,257117.19999995606,Aug,00:00:49,2020,4.264379999999985,0.8596899999999884,2020-08-28
