month,desktop,fan,laptop,monitor,others,tasklamp,total,user_id
Jan,-9.824576207,-1.560206386,-5.908509248,-7.757998064,-2.567916334,-1.928728158,-29.5479344,1
Feb,-15.34101883,-2.268113008,-9.455024008,-11.73575875,-3.98712445,-2.996964865,-45.78400391,1
Mar,-8.431338677,-1.209702586,-4.950752288,-6.828047444,-1.933134214,-1.705389018,-25.05836423,1
Apr,3.965006868,0.455181068,2.887582197,3.964369757,1.016176283,0.884262774,13.17257895,1
May,7.236860563,1.152208214,4.142320882,4.831950496,1.662265346,1.185236202,20.2108417,1
Jun,18.18492272,2.716788848,10.6715082,14.29868627,4.652222063,3.803825964,54.32795406,1
