,month,year,power,time,power_kWh,unix_time,cost
0,Jan,2020,744951.8199999986,00:00:20,714.7980000000123,1577894420.0,138.53900000000186
1,Feb,2020,631956.269999999,00:00:20,603.4760000000136,1580572820.0,116.65200000000182
2,Mar,2020,835941.0699999984,00:00:20,805.8700000000081,1583078420.0,156.91500000000156
3,Apr,2020,960991.8899999977,00:00:20,931.8119999999994,1585756820.0,182.23299999999935
4,May,2020,1025069.8499999986,00:00:20,994.6870000000036,1588348820.0,194.42099999999976
5,Jun,2020,1152349.1199999985,00:00:20,1123.320000000001,1591027220.0,220.56700000000134
6,Jul,2020,733659.9199999972,00:00:20,711.396999999999,1593619220.0,139.02999999999952
