week,desktop,fan,laptop,monitor,others,tasklamp,total,user_id
15 Jun,3.865136242,0.545217974,2.187076404,2.932213047,0.954045319,0.818556762,11.30224575,1
22 Jun,3.960291652,0.605160194,2.273651124,3.115004457,1.019997439,0.835306092,11.80941096,1
29 Jun,3.714227452,0.578795024,2.220233364,3.133484397,1.063668709,0.864483252,11.5748922,1
6 Jul,1.200915412,0.285652604,0.723078834,0.975234837,0.391954849,0.145604742,3.722441278,1
13 Jul,0.575940082,0.048663554,0.252067494,0.380363277,0.211953319,0.129673482,1.598661208,1
20 Jul,0.376172212,0.039548204,0.301330584,0.457742247,0.091924159,0.090982992,1.357700398,1
