,date,power,month,time,year,power_kWh,cost,date_withoutYear
0,2020-07-18,4171.650000000072,Jul,00:00:20,2020,2.956999999999928,0.43500000000000033,18/07
1,2020-07-19,2057.989999999972,Jul,00:00:20,2020,0.8480000000000006,0.0,19/07
2,2020-07-20,41716.780000000064,Jul,00:00:20,2020,40.814999999999934,8.013999999999964,20/07
3,2020-07-21,43546.10999999973,Jul,00:00:20,2020,42.67599999999995,8.39499999999997,21/07
4,2020-07-22,41825.77999999974,Jul,00:00:20,2020,40.950000000000024,8.049999999999972,22/07
5,2020-07-23,41365.13999999998,Jul,00:00:20,2020,40.472999999999956,7.965999999999953,23/07
6,2020-07-24,42680.759999999595,Jul,00:00:20,2020,41.82199999999992,8.21099999999997,24/07
